Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.47,0,0.16
LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.37,0.43,0.02,0.16
Rocket League,PS4,2016,Sports,505 Games,0.11,0.69,0,0.14
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0,0.17
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.41,0,0.15
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0,0.16
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0,0.15
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.3,0.43,0.01,0.14
Thief (2014),PS4,2014,Action,Square Enix,0.28,0.38,0.03,0.13
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.21,0.13,0.39,0.07
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.3,0.3,0.07,0.12
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.26,0.39,0,0.13
Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.35,0.23,0.08,0.12
Mass Effect: Andromeda,PS4,2017,Role-Playing,Electronic Arts,0.34,0.3,0,0.13
Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.29,0.34,0,0.12
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.09,0.55,0,0.11
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.59,0,0,0.14
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.28,0.29,0.01,0.11
Kingdom Hearts HD 2.8 Final Chapter Prologue,PS4,2017,Role-Playing,Square Enix,0.29,0.13,0.19,0.09
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.25,0.34,0,0.11
Steep,PS4,2016,Sports,Ubisoft,0.11,0.46,0.02,0.1
F1 2015,PS4,2015,Racing,Codemasters,0.1,0.45,0.04,0.1
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.31,0.25,0,0.11
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.05,0.1
F1 2016 (Codemasters),PS4,2016,Racing,Codemasters,0.06,0.48,0.03,0.09
