Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Earthlock: Festival of Magic,PS4,N/A,Role-Playing,N/A,0,0,0,0
Axiom Verge,PS4,N/A,Action,N/A,0,0,0,0
Sparkle 2,PS4,N/A,Puzzle,N/A,0,0,0,0
Soul Saga,PS4,N/A,Role-Playing,N/A,0,0,0,0
Pure Chess,PS4,N/A,Strategy,N/A,0,0,0,0
Entwined,PS4,2020,Action,Sony Computer Entertainment,0,0,0,0
AirMech Arena,PS4,N/A,Action,N/A,0,0,0,0
Skytorn,PS4,N/A,Action,N/A,0,0,0,0
Dengeki Bunko: Fighting Climax Ignition,PS4,2015,Action,Sega,0,0,0,0
Air Conflicts: Pacific Carriers,PS4,2015,Action,Kalypso Media,0,0,0,0
Hardware: Rivals,PS4,N/A,Action,N/A,0,0,0,0
De-formers,PS4,N/A,Action,N/A,0,0,0,0
Redout,PS4,2017,Racing,505 Games,0,0,0,0
Farpoint,PS4,2017,Shooter,Sony Computer Entertainment,0,0,0,0
Aven Colony,PS4,2017,Strategy,Sold Out,0,0,0,0
Brothers in Arms: Furious 4,PS4,2020,Shooter,Ubisoft,0,0,0,0
Mount & Blade: Warband,PS4,2016,Role-Playing,Taleworlds,0,0,0,0
Uncharted Waters Online: Gran Atlas,PS4,N/A,Role-Playing,N/A,0,0,0,0
Oddworld: Abe's Oddysee New N' Tasty!,PS4,N/A,Platform,N/A,0,0,0,0
Basement Crawl,PS4,N/A,Action,N/A,0,0,0,0
Dungeon Defenders II,PS4,N/A,Action,N/A,0,0,0,0
The Legend of Korra (2014),PS4,2014,Action,Activision,0,0,0,0
Shiftlings,PS4,N/A,Platform,N/A,0,0,0,0
Final Fantasy VII Remake,PS4,2020,Role-Playing,Square Enix,0,0,0,0
Tiny Troopers Joint Ops,PS4,2014,Action,Unknown,0,0,0,0
Uncharted: The Lost Legacy,PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
MotoGP 17,PS4,2017,Racing,Koch Media,0,0,0,0
Air Conflicts: Secret Wars,PS4,2017,Simulation,Nighthawk Interactive,0,0,0,0
Kingdom Under Fire II,PS4,2014,Strategy,Unknown,0,0,0,0
LEGO City Undercover,PS4,2017,Platform,Warner Bros. Interactive Entertainment,0,0,0,0
Primal Carnage: Genesis,PS4,2020,Action,Unknown,0,0,0,0
SteamWorld Dig,PS4,N/A,Platform,N/A,0,0,0,0
Worms Battlegrounds,PS4,N/A,Strategy,N/A,0,0,0,0
Blue Estate,PS4,2014,Action,Focus Home Interactive,0,0,0,0
Red Goddess: Inner Mind,PS4,N/A,Action,N/A,0,0,0,0
Inside,PS4,N/A,Platform,N/A,0,0,0,0
Alienation,PS4,N/A,Shooter,N/A,0,0,0,0
Apotheon,PS4,N/A,Action,N/A,0,0,0,0
Days Gone,PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
Deformers,PS4,2017,Action,Ready at Dawn,0,0,0,0
Resident Evil: Revelations,PS4,2017,Action,Capcom,0,0,0,0
The Silver Case,PS4,2017,Adventure,Nippon Ichi Software,0,0,0,0
Peggle 2,PS4,N/A,Puzzle,N/A,0,0,0,0
Strider (2014),PS4,2014,Platform,Capcom,0,0,0,0
Pure Pool,PS4,2014,Simulation,Triniti Interactive,0,0,0,0
#killallzombies,PS4,N/A,Action,N/A,0,0,0,0
God Wars: Beyond Time,PS4,2016,Role-Playing,Kadokawa Games,0,0,0,0
Jikkyou Powerful Pro Baseball Success Special,PS4,N/A,Sports,N/A,0,0,0,0
Injustice 2,PS4,2017,Fighting,Warner Bros. Interactive Entertainment,0,0,0,0
ATV Renegades,PS4,2017,Racing,Nighthawk Interactive,0,0,0,0
Pier Solar and the Great Architects,PS4,2020,Role-Playing,WaterMelon,0,0,0,0
Dust: An Elysian Tail,PS4,N/A,Role-Playing,N/A,0,0,0,0
Cyberpunk 2077,PS4,2015,Role-Playing,CD Projekt Red Studio,0,0,0,0
War Thunder,PS4,N/A,Action,N/A,0,0,0,0
Murasaki Baby,PS4,N/A,Action,N/A,0,0,0,0
Aaru's Awakening,PS4,N/A,Action,N/A,0,0,0,0
Rollers of the Realm,PS4,N/A,Role-Playing,N/A,0,0,0,0
Alone With You,PS4,N/A,Adventure,N/A,0,0,0,0
What Remains of Edith Finch,PS4,N/A,Adventure,N/A,0,0,0,0
Wander,PS4,2015,Role-Playing,Wander MMO,0,0,0,0
Call of Duty: WWII,PS4,2017,Shooter,Activision,0,0,0,0
Metal Slug 3,PS4,N/A,Shooter,N/A,0,0,0,0
Doki-Doki Universe,PS4,2013,Adventure,Sony Computer Entertainment,0,0,0,0
Galak-Z: The Dimensional,PS4,N/A,Action,N/A,0,0,0,0
There Came an Echo,PS4,N/A,Strategy,N/A,0,0,0,0
Switch Galaxy Ultra,PS4,N/A,Racing,N/A,0,0,0,0
MechRunner,PS4,N/A,Action,N/A,0,0,0,0
Fenix Rage,PS4,N/A,Platform,N/A,0,0,0,0
The Assembly,PS4,N/A,Adventure,N/A,0,0,0,0
Hunger,PS4,N/A,Adventure,N/A,0,0,0,0
Fallen Legion,PS4,N/A,Role-Playing,N/A,0,0,0,0
Bulletstorm: Full Clip Edition,PS4,2017,Shooter,Gearbox Software,0,0,0,0
Naruto Shippuden: Ultimate Ninja Storm Legacy,PS4,2017,Fighting,Namco Bandai Games,0,0,0,0
Hand of Fate,PS4,N/A,Role-Playing,N/A,0,0,0,0
Tekken 7,PS4,2017,Fighting,Namco Bandai Games,0,0,0,0
The Binding of Isaac,PS4,N/A,Action,N/A,0,0,0,0
Defense Grid 2,PS4,N/A,Strategy,N/A,0,0,0,0
Lily Bergamo,PS4,2014,Action,GungHo,0,0,0,0
Ready to Run,PS4,N/A,Racing,N/A,0,0,0,0
Adr1ft,PS4,2016,Action,505 Games,0,0,0,0
The Last Tinker: City of Colors,PS4,N/A,Platform,N/A,0,0,0,0
Magicka 2,PS4,2020,Action,Paradox Interactive,0,0,0,0
Hollowpoint,PS4,N/A,Action,N/A,0,0,0,0
Soma,PS4,N/A,Action,N/A,0,0,0,0
Professional Lumberjack 2016,PS4,2020,Simulation,Namco Bandai Games,0,0,0,0
Qurare: Magic Library,PS4,N/A,Action,N/A,0,0,0,0
Fe,PS4,N/A,Action,N/A,0,0,0,0
Dead by Daylight,PS4,2017,Action,505 Games,0,0,0,0
Touhou Kobuto V: Burst Battle,PS4,2017,Shooter,Nippon Ichi Software,0,0,0,0
The Swapper,PS4,N/A,Puzzle,N/A,0,0,0,0
Daylight,PS4,N/A,Adventure,N/A,0,0,0,0
Pinball Arcade,PS4,2013,Action,FarSight Studios,0,0,0,0
WonderFlick,PS4,2014,Role-Playing,Level 5,0,0,0,0
Kodoku,PS4,N/A,Action,N/A,0,0,0,0
Crimsonland,PS4,N/A,Shooter,N/A,0,0,0,0
Kill Strain,PS4,N/A,Action,N/A,0,0,0,0
Rock of Ages II: Bigger and Boulder,PS4,N/A,Action,N/A,0,0,0,0
Hustle Kings VR,PS4,2016,Sports,Sony Computer Entertainment Europe,0,0,0,0
Cel Damage,PS4,N/A,Racing,N/A,0,0,0,0
Uncharted: Drake's Fortune,PS4,2015,Action,Sony Computer Entertainment,0,0,0,0
Tiny Brains,PS4,N/A,Puzzle,N/A,0,0,0,0
Velocity 2X,PS4,2014,Action,Futurlab 1,0,0,0,0
Razor Global Domination Pro Tour,PS4,N/A,Action,N/A,0,0,0,0
The Chainsaw Incident,PS4,N/A,Fighting,N/A,0,0,0,0
EarthNight,PS4,N/A,Action,N/A,0,0,0,0
The Vanishing of Ethan Carter,PS4,2015,Adventure,The Astronauts,0,0,0,0
Assassin's Creed: Victory,PS4,2015,Action,Ubisoft,0,0,0,0
Oceanhorn: Monster of Uncharted Seas,PS4,N/A,Action,N/A,0,0,0,0
R.B.I. Baseball 15,PS4,2015,Sports,MLB.com,0,0,0,0
Marvel's Guardians of the Galaxy: The Telltale Series,PS4,2017,Adventure,Warner Bros. Interactive Entertainment,0,0,0,0
Star Wars Battlefront II (2017),PS4,2017,Shooter,Electronic Arts,0,0,0,0
Ancients of Ooga - The Forgotten Chapters,PS4,2016,Platform,Koch Media,0,0,0,0
Dragon Fin Soup,PS4,N/A,Role-Playing,N/A,0,0,0,0
Rack N Ruin,PS4,N/A,Adventure,N/A,0,0,0,0
Valiant Hearts: The Great War,PS4,N/A,Adventure,N/A,0,0,0,0
Road Not Taken,PS4,N/A,Puzzle,N/A,0,0,0,0
Read Only Memories,PS4,N/A,Adventure,N/A,0,0,0,0
God of War (PS4),PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
Madden NFL 18,PS4,2017,Sports,Electronic Arts,0,0,0,0
Sound Shapes,PS4,N/A,Platform,N/A,0,0,0,0
SPORTSFRIENDS,PS4,N/A,Action,N/A,0,0,0,0
Get Even,PS4,2015,Shooter,Unknown,0,0,0,0
Not a Hero,PS4,N/A,Shooter,N/A,0,0,0,0
Without Memory,PS4,2016,Action,Unknown,0,0,0,0
Armello,PS4,N/A,Strategy,N/A,0,0,0,0
The Surge,PS4,2017,Action,Koch Media,0,0,0,0
That Trivia Game,PS4,N/A,Puzzle,N/A,0,0,0,0
Final Fantasy (PS4),PS4,2020,Role-Playing,Square Enix,0,0,0,0
Warframe,PS4,N/A,Shooter,N/A,0,0,0,0
Hotline Miami 2: Wrong Number,PS4,N/A,Action,N/A,0,0,0,0
Night in the Woods,PS4,N/A,Adventure,N/A,0,0,0,0
Gone Home,PS4,N/A,Adventure,N/A,0,0,0,0
MouseCraft,PS4,N/A,Puzzle,N/A,0,0,0,0
Falling Skies: The Game,PS4,2015,Role-Playing,Little Orbit,0,0,0,0
Q*bert: Rebooted,PS4,N/A,Action,N/A,0,0,0,0
Tadeo Jones y el manuscrito perdido,PS4,2014,Adventure,Deep Silver,0,0,0,0
Wattam,PS4,N/A,Action,N/A,0,0,0,0
Punch Line,PS4,2015,Adventure,5pb,0,0,0,0
FlatOut 4: Total Insanity,PS4,2017,Racing,Strategy First,0,0,0,0
Bloodborne: Complete Edition,PS4,2015,Role-Playing,Sony Computer Entertainment,0,0,0,0
,PS4,2016,,Tecmo Koei,0,0,0,0
Don Bradman Cricket 17,PS4,2016,Sports,Tru Blu Entertainment,0,0,0,0
The Sexy Brutale,PS4,2017,Adventure,Badland Studio,0,0,0,0
Bee Tap Extreme,PS4,2014,Action,Milestone S.r.l,0,0,0,0
Hohokum,PS4,2014,Adventure,Sony Computer Entertainment,0,0,0,0
Ray's the Dead,PS4,N/A,Strategy,N/A,0,0,0,0
Puyo Puyo Tetris,PS4,2014,Puzzle,Sega,0,0,0,0
Shadow Warrior (2013),PS4,2014,Shooter,N/A,0,0,0,0
Tetris Ultimate,PS4,2014,Puzzle,Ubisoft,0,0,0,0
Game 4,PS4,2020,Action,The Behemoth,0,0,0,0
Spider-Man (PS4),PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
Digimon Story: Cyber Sleuth - Hacker's Memory,PS4,2017,Role-Playing,Namco Bandai Games,0,0,0,0
Heavy Rain,PS4,N/A,Adventure,N/A,0,0,0,0
Hotline Miami,PS4,N/A,Action,N/A,0,0,0,0
Drifter: A Space Trading Game,PS4,N/A,Simulation,N/A,0,0,0,0
R.B.I. Baseball 14,PS4,2014,Sports,MLB.com,0,0,0,0
Broforce,PS4,N/A,Action,N/A,0,0,0,0
In Space We Brawl,PS4,N/A,Shooter,N/A,0,0,0,0
Rebel Galaxy,PS4,2015,Role-Playing,Double Damage Games,0,0,0,0
Alekhine's Gun,PS4,2016,Action,FuRyu Corporation,0,0,0,0
Final Fantasy XIV: Stormblood,PS4,2017,Role-Playing,Square Enix,0,0,0,0
Starblood Arena VR,PS4,2017,Shooter,Sony Computer Entertainment,0,0,0,0
PixelJunk Shooter,PS4,N/A,Shooter,N/A,0,0,0,0
Slender: The Arrival,PS4,2015,Adventure,Unknown,0,0,0,0
Outlast,PS4,N/A,Action,N/A,0,0,0,0
Toukiden: The Age of Demons,PS4,2014,Action,Tecmo Koei,0,0,0,0
Monochroma,PS4,2014,Puzzle,Nowhere Studios,0,0,0,0
EA Sports PGA Tour,PS4,2015,Sports,Electronic Arts,0,0,0,0
The Walking Dead: Season Three,PS4,N/A,Action,N/A,0,0,0,0
Drawn to Death,PS4,2020,Shooter,Sony Computer Entertainment,0,0,0,0
World Soccer Winning Eleven 2015,PS4,2015,Action,Konami Digital Entertainment,0,0,0,0
Killing Bites,PS4,2016,Action,Unknown,0,0,0,0
Shadow Tactics: Blades of the Shogun,PS4,2017,Strategy,Kalypso Media,0,0,0,0
Volume,PS4,N/A,Action,N/A,0,0,0,0
Aztez,PS4,N/A,Action,N/A,0,0,0,0
Shaq-Fu: A Legend Reborn,PS4,2015,Fighting,Unknown,0,0,0,0
Toren,PS4,N/A,Adventure,N/A,0,0,0,0
Darkest Dungeon,PS4,N/A,Role-Playing,N/A,0,0,0,0
Red Dead Redemption 2,PS4,2017,Action,Take-Two Interactive,0,0,0,0
ArmaGallant: Decks of Destiny,PS4,2017,Strategy,FuRyu Corporation,0,0,0,0
Dark Cloud 2,PS4,N/A,Role-Playing,N/A,0,0,0,0
King Oddball,PS4,N/A,Puzzle,N/A,0,0,0,0
Apotheon,PS4,N/A,Platform,N/A,0,0,0,0
Contrast,PS4,2013,Platform,Compulsion Games,0,0,0,0
H-Hour: World's Elite,PS4,N/A,Shooter,N/A,0,0,0,0
forma.8,PS4,N/A,Action,N/A,0,0,0,0
Nidhogg,PS4,N/A,Action,N/A,0,0,0,0
Shiness: The Lightning Kingdom,PS4,N/A,Role-Playing,N/A,0,0,0,0
Godzilla (2014),PS4,2014,Action,Namco Bandai Games,0,0,0,0
The Banner Saga 2,PS4,N/A,Role-Playing,N/A,0,0,0,0
Inside My Radio,PS4,N/A,Platform,N/A,0,0,0,0
Ikenie to Yuki no Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0,0
Airship Q,PS4,2020,Platform,Cygames,0,0,0,0
Gran Turismo Sport,PS4,2017,Racing,Sony Computer Entertainment,0,0,0,0
Valhalla Hills,PS4,2017,Strategy,Kalypso Media,0,0,0,0
Stardew Valley,PS4,2017,Action,505 Games,0,0,0,0
Sudden Strike 4,PS4,2017,Strategy,Kalypso Media,0,0,0,0
Ape Escape 2,PS4,N/A,Platform,N/A,0,0,0,0
Human Element,PS4,2015,Role-Playing,Unknown,0,0,0,0
Stick It to the Man!,PS4,N/A,Platform,N/A,0,0,0,0
RESOGUN,PS4,N/A,Shooter,N/A,0,0,0,0
OlliOlli,PS4,N/A,Platform,N/A,0,0,0,0
Backgammon Blitz,PS4,N/A,Simulation,N/A,0,0,0,0
Blast 'Em Bunnies,PS4,N/A,Action,N/A,0,0,0,0
Ubusuna,PS4,N/A,Shooter,N/A,0,0,0,0
Unravel,PS4,N/A,Platform,N/A,0,0,0,0
Shakedown Hawaii,PS4,N/A,Action,N/A,0,0,0,0
Ace Combat 7: Skies Unknown,PS4,2020,Shooter,Namco Bandai Games,0,0,0,0
Super Motherload,PS4,N/A,Puzzle,N/A,0,0,0,0
Secret Ponchos,PS4,N/A,Shooter,N/A,0,0,0,0
Chasm,PS4,N/A,Platform,N/A,0,0,0,0
SOMA (2015),PS4,2015,Adventure,Frictional Games,0,0,0,0
Firewatch,PS4,N/A,Adventure,N/A,0,0,0,0
The Escapists,PS4,N/A,Action,N/A,0,0,0,0
OlliOlli 2: Welcome to Olliwood,PS4,N/A,Platform,N/A,0,0,0,0
Hatsune Miku: Project Diva Future Tone,PS4,N/A,Misc,N/A,0,0,0,0
Agents of Mayhem,PS4,2017,Action,Deep Silver,0,0,0,0
Little Nightmares,PS4,2017,Platform,Namco Bandai Games,0,0,0,0
Guilty Gear Xrd REV 2,PS4,2017,Fighting,PQube,0,0,0,0
Psychonauts,PS4,N/A,Platform,N/A,0,0,0,0
flower,PS4,2013,Misc,Sony Computer Entertainment America,0,0,0,0
EverQuest Next,PS4,2020,Role-Playing,Sony Online Entertainment,0,0,0,0
Divekick,PS4,N/A,Fighting,N/A,0,0,0,0
Loadout,PS4,N/A,Shooter,N/A,0,0,0,0
Assassin's Creed Chronicles: India,PS4,N/A,Action,N/A,0,0,0,0
Trans-Galactic Tournament,PS4,N/A,Action,N/A,0,0,0,0
Risen 3 Enhanced Edition,PS4,2015,Role-Playing,Deep Silver,0,0,0,0
The Binding of Isaac: Rebirth,PS4,N/A,Action,N/A,0,0,0,0
Outlast Trinity,PS4,2017,Action,Warner Bros. Interactive Entertainment,0,0,0,0
Gundam Versus,PS4,2017,Action,Namco Bandai Games,0,0,0,0
Bladestorm: The Hundred Years' War,PS4,2015,Action,BioWare,0,0,0,0
Uncharted 3: Drake's Deception,PS4,2015,Action,Sony Computer Entertainment,0,0,0,0
Transistor,PS4,N/A,Action,N/A,0,0,0,0
BADLAND,PS4,N/A,Action,N/A,0,0,0,0
Home - a Unique Horror Adventure,PS4,N/A,Action,N/A,0,0,0,0
Rime,PS4,2017,Adventure,U&I Entertainment,0,0,0,0
Legend of Raven,PS4,N/A,Fighting,N/A,0,0,0,0
Assassin's Creed: Freedom Cry,PS4,N/A,Action,N/A,0,0,0,0
The Girl and the Robot,PS4,N/A,Role-Playing,N/A,0,0,0,0
Afro Samurai 2,PS4,2015,Action,Versus Evil,0,0,0,0
OniKira: Demon Killer,PS4,N/A,Action,N/A,0,0,0,0
Magic Duels: Origin,PS4,N/A,Misc,N/A,0,0,0,0
The Last of Us: Part II,PS4,2020,Action,Sony Computer Entertainment,0,0,0,0
Golf Club 2,PS4,2017,Sports,FuRyu Corporation,0,0,0,0
Agatha Christie: The ABC Murders,PS4,2016,Adventure,Microids,0,0,0,0
CastleStorm,PS4,N/A,Strategy,N/A,0,0,0,0
The King of Fighters 2000,PS4,N/A,Fighting,N/A,0,0,0,0
Don't Starve,PS4,2017,Adventure,505 Games,0,0,0,0
KickBeat,PS4,N/A,Misc,N/A,0,0,0,0
